,index,approveDate,commentBody,commentID,commentSequence,commentTitle,commentType,createDate,depth,editorsSelection,isAnonymous,parentID,parentUserDisplayName,permID,picURL,recommendations,recommendedFlag,replies,replyCount,status,trusted,updateDate,userDisplayName,userID,userLocation,userTitle,userURL
0,0,1575342759,"""The judge at his trial had warned about the threat he (= Mr. Khan) might still have posed to the public.""

And that judge was correct. 

The beliefs of Mr. Merritt or Ms. Jones and their families are irrelevant. They do not have the right or privilege to potentially sacrifice innocent people for those beliefs.",103934997,103934997,<br\//>,comment,1575342247,1,False,False,,,103934997,,14,0,[],0,approved,0,1575974453,Joshua Schwartz,53713809,"Ramat-Gan, Israel",NULL,NULL
1,1,1575333106,I morn for the victims but the murderer was not just a prisoner he was a radicalized terrorist.    I don’t care why he was a terrorist.  I don’t care what his religion was.  He was a terroist and a fanatic.  In my opinion that kind of person cannot be “rehabilitated” in the short term or ever but they can pretend long enough to be in a position to strike again.,103932542,103932542,<br\//>,comment,1575328935,1,False,False,,,103932542,,12,0,[],0,approved,0,1575657651,Justice Holmes,26251732,Charleston SC,NULL,NULL
2,2,1575333095,"just when pbs is airing lynn novick's excellent""college behind bars,"" a film about the bard prison initiative (bard college professors offering undergraduate-quality courses to highly-motivated prisoners in certain new york state penal institutions, graduating ex-offenders with degrees, ready to join the workforce), this incident reminds us that not all folks in the slammer can be rehabilitated . . .",103932548,103932548,<br\//>,comment,1575328976,1,False,False,,,103932548,,3,0,[],0,approved,0,1575396332,Lillas Pastia,31191480,"Washington, DC",NULL,NULL
3,3,1575327766,"great family, all my respect !
Love the two last lines!
Thus is a free man !
Thank you !",103931224,103931224,<br\//>,comment,1575323082,1,False,False,,,103931224,,0,0,[],0,approved,0,1575374390,larry williams,77903249,austria,NULL,NULL
4,4,1575327765,"I guess the perpetrator was not ‘Rehabilitated’ .... Sadly, The naive Liberals of the World eventually become the victims of the ‘ Rehabilitated’  ...",103931971,103931971,<br\//>,comment,1575326368,1,False,False,,,103931971,,13,0,[],0,approved,0,1575974458,Henry,67257596,New York,NULL,NULL
5,5,1575327765,"If Boris Johnson's proposal for tougher sentencing for terrorists represents ""hatred, division, ignorance"", then I'm afraid we are living in a complete fantasy land.  I feel terrible for the family and the fiancée of Jack Merritt.   But please do tell me: where is this utopian world in which terrorists - who would gleefully genocide you and all your people - will beat their suicide vests into plowshares?  The reaction to Boris Johnson is so simple minded, as if every conflict has to be squeezed into the paradigm of civil rights in the 1960s.  If you come down hard on terrorists, you are sowing ""division"".  You are probably a racist.  Have people taken complete leave of their senses?  These hard-core jihadis are laughing up their sleeves at us.  They think we are ridiculous.  This airy, abstract idealism has no place whatsoever in any policy regarding Islamic extremism.  This is a fight to the death, and we need to win.",103932068,103932068,<br\//>,comment,1575326817,1,False,False,,,103932068,,18,0,[],0,approved,0,1575974429,Christina,51518524,Europe,NULL,NULL
6,6,1575322469,"The two deaths are a complete horror. And yes, the UK and Europe do have a domestic and foreign terrorism problem. But the last country that should be lecturing anyone about how they deal with the issue is the United States. We have school shooting on a monthly basis, we have mosque, temple and church shootings by domestic white nationalists on a regular basis. Those groups are growing in numbers daily. Compare the number of deaths from these terrorists and they dwarf the number of deaths in the UK. And that is not including the fatalities from non-political gun deaths in this country. Compare the raw numbers of the butcher bill between us and Europe. This is one issue where we can say ""We are number One"". In the negative.",103930527,103930527,<br\//>,comment,1575320495,1,False,False,,,103930527,,5,0,"[{'commentID': 103931317, 'status': 'approved', 'commentSequence': 103931317, 'userID': 76185751, 'userDisplayName': 'Ernest Montague', 'userLocation': 'Oakland, CA', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@KJ Peters \n\nUK: Terrorist deaths since 1970: 3400\nUS: Terrorist deaths since 1970: 4500, most of which were in 9-11.\n\nWant to try again? With some actual stats?', 'createDate': '1575323543', 'updateDate': '1575611393', 'approveDate': '1575327767', 'recommendations': 6, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103930527, 'parentUserDisplayName': 'KJ Peters', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103931317', 'isAnonymous': False}, {'commentID': 103935464, 'status': 'approved', 'commentSequence': 103935464, 'userID': 88992647, 'userDisplayName': 'KJ Peters', 'userLocation': 'San Jose, California', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@Ernest Montague \nYes , if your including the deaths from the Irish IRA then you are correct. Look at the totals during the Trump administration. This horror produced produced 2 deaths. They have knives. Our boys have semi automatic weapons. Look at Pittsburgh, El Paso. Of the two countries where are you more likely to get shot to death? I'll take my risks against knife attacks as opposed to the terror of semi autos. Which country has bulletproof back packs on sale and where our grade school's have to practice shelter in place drills because of the logical fear of being the next school shooting? Columbine, Sandy Hook, Charlottesville, Gilroy Orlando, the list goes on and on. We have no right to lecture any other country on violent deaths."", 'createDate': '1575344910', 'updateDate': '1575611407', 'approveDate': '1575352087', 'recommendations': 7, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103931317, 'parentUserDisplayName': 'KJ Peters', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103935464', 'isAnonymous': False}]",2,approved,0,1576096899,KJ Peters,88992647,"San Jose, California",NULL,NULL
7,7,1575322468,"The attacker could have chosen anyplace anywhere to commit this awful act.  His timing and choice of place and victims suggest he wanted to amplify his message.  

This foul act is drowning out any messages about successful deradicalisation efforts taking around the world.",103930640,103930640,<br\//>,comment,1575320952,1,False,False,,,103930640,,1,0,[],0,approved,0,1575326283,jack zubrick,85263624,australia,NULL,NULL
8,8,1575319278,"Seeing this makes me wonder about the future of New York with its social justice reforms, no bail , lighter or no prison sentences.",103929900,103929900,<br\//>,comment,1575318066,1,False,False,,,103929900,,18,0,"[{'commentID': 103932580, 'status': 'approved', 'commentSequence': 103932580, 'userID': 26251732, 'userDisplayName': 'Justice Holmes', 'userLocation': 'Charleston SC', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@EAH you are right to be concerned.  There is no question that the criminal justice system needs reform but the idea that the best way to do that is to pretend that crime doesn’t exist or that victims don’t need protection is insane.', 'createDate': '1575329088', 'updateDate': '1575385377', 'approveDate': '1575333011', 'recommendations': 5, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103929900, 'parentUserDisplayName': 'EAH', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103932580', 'isAnonymous': False}]",1,approved,0,1575974399,EAH,97129559,NYC,NULL,NULL
9,9,1575318681,"I find it remarkable that Prime Minister Johnson is using this issue as a political issue for the Tory party. Who has been in charge of the early release program for over a decade? The Tory party. Please ponder this. For over a decade they have been in charge. If they thought, with 20-20 hindsight that this program was so terrible why on earth did they never get rid of it. Who had the power to reform or get rid of the program? The Tory party. Who did nothing to change it? The Tory party. Who does the Tory party blame? Labour. Boris acts as if the Conservative party has not been at the helm over the last decade. They have been in charge, they are responsible.",103930041,103930041,<br\//>,comment,1575318680,1,False,False,,,103930041,,6,0,[],0,approved,0,1575563516,KJ Peters,88992647,"San Jose, California",NULL,NULL
10,10,1575315607,The early release of Mr. Khan was clearly a mistake. A deadly mistake.,103929184,103929184,<br\//>,comment,1575315544,1,False,False,,,103929184,,28,0,[],0,approved,0,1576970760,Jim,47104051,Lambert,NULL,NULL
11,11,1575313030,how do you rehabilitate someone who acts based on his/her ideological or religious belief?,103928482,103928482,<br\//>,comment,1575312802,1,False,False,,,103928482,,40,0,"[{'commentID': 103930107, 'status': 'approved', 'commentSequence': 103930107, 'userID': 86911731, 'userDisplayName': 'John Bergstrom', 'userLocation': 'Boston', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': ""@susan mc  Apparently Khan had actually asked for some kind of counseling. He had shown some recognition that there was something seriously wrong with the violent ideology he had been following, or at least expressed the desire for help in getting away from it, but he didn't get any counseling, and maybe it wouldn't have done any good. People do change their religions and ideologies, both moving away from the normal toward extremes, and away from extremes back toward the normal. Clearly in this case things went terribly wrong. I wonder if he wasn't coerced by some of the worst of his old violent contacts after he got out of prison, if he expressed any doubts about their extremism?"", 'createDate': '1575318999', 'updateDate': '1575321461', 'approveDate': '1575319000', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103928482, 'parentUserDisplayName': 'susan mc', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103930107', 'isAnonymous': False}, {'commentID': 103930732, 'status': 'approved', 'commentSequence': 103930732, 'userID': 85263624, 'userDisplayName': 'jack zubrick', 'userLocation': 'australia', 'userTitle': 'NULL', 'userURL': 'NULL', 'picURL': None, 'commentTitle': '<br\\//>', 'commentBody': '@susan mc \n\nThe Chinese are engaged in just such an experiment with its Uighur population.', 'createDate': '1575321312', 'updateDate': '1575366577', 'approveDate': '1575322467', 'recommendations': 1, 'replyCount': 0, 'replies': [], 'editorsSelection': False, 'parentID': 103928482, 'parentUserDisplayName': 'susan mc', 'depth': 2, 'commentType': 'userReply', 'trusted': 0, 'recommendedFlag': 0, 'permID': '103930732', 'isAnonymous': False}]",2,approved,0,1576970757,susan mc,26880832,santa fe nm,NULL,NULL
